Al,Ca,Fe,Mg,Mn,Ni,overpotential
0.078243412,0.115650452,0.458627426,0.320789736,0.005296613,0.02139236,1.8445
0.025610701,0.161303332,0.443424978,0.352584945,0.008290074,0.00878597,1.845
0.048152638,0.171030226,0.4244859,0.34192377,0.008381493,0.006025973,1.8454
0.12563113,0.09814136,0.247123384,0.52206066,0.004411521,0.002631946,1.846
0.063160469,0.129863631,0.458198455,0.32804983,0.006944876,0.01378274,1.8474
0.19744386,0.140287936,0.279930338,0.372279459,0.004304731,0.005753675,1.8481
0.168623249,0.139958522,0.37796215,0.29422625,0.004648023,0.014581806,1.85
0.137066001,0.114803085,0.421964508,0.300308919,0.004085845,0.021771642,1.8523
0.043633406,0.158150416,0.487496438,0.297474455,0.009791001,0.003454285,1.8535
0.017540866,0.065850497,0.29238444,0.6161148,0.00577817,0.002331228,1.855
0.076077238,0.126861605,0.453756898,0.322832259,0.006727628,0.013744373,1.8623
0.08037064,0.123549995,0.454126563,0.317151491,0.005705891,0.01909542,1.8623
0.042354347,0.130418704,0.463703016,0.34032971,0.006753533,0.01644069,1.8637
0.076499651,0.130693608,0.448617766,0.323658412,0.006661119,0.013869445,1.8661
0.034616317,0.071557072,0.279455016,0.606517864,0.00547071,0.002383019,1.8695
0.110128606,0.130361471,0.42754499,0.311972436,0.005982395,0.014010101,1.871
0.16081758,0.137944923,0.385509923,0.296408453,0.004837164,0.014481957,1.8747
0.239902581,0.160934696,0.321883158,0.263663836,0.004260941,0.009354789,1.8766
0.138216598,0.197182697,0.405086647,0.248174092,0.008080593,0.003259373,1.8773
0.140085325,0.140155178,0.395953012,0.304121497,0.005225284,0.014459704,1.88
0.145441374,0.119156264,0.42413116,0.285169836,0.004054054,0.022047313,1.8806
0.164707573,0.187945923,0.382274679,0.249195922,0.00621348,0.009662424,1.8841
0.093061335,0.138934306,0.428702029,0.323539218,0.007226747,0.008536365,1.8875
0.022715235,0.162094246,0.501400571,0.300509588,0.010349694,0.002930666,1.889
0.031224561,0.049034169,0.283664865,0.624844578,0.004530286,0.006701542,1.894
0.037429644,0.053740162,0.290765956,0.606622967,0.004635978,0.006805292,1.896
0.02238405,0.172117878,0.510899084,0.278522449,0.010093929,0.005982609,1.9025
0.01043791,0.052820956,0.302175434,0.622780953,0.005068576,0.006716171,1.9034
0.06135473,0.121756866,0.462664373,0.331508058,0.006506669,0.016209303,1.904
0.088627032,0.18822577,0.437440857,0.270985882,0.008409232,0.006311226,1.9216
0.048536667,0.122839781,0.469493189,0.336196567,0.006751929,0.016181866,1.9246
0.090245977,0.196865745,0.441989533,0.255917972,0.008557851,0.006422922,1.9327
0.187145454,0.199004616,0.372873754,0.230539799,0.007121213,0.003315165,1.936
0.197664762,0.123487227,0.232695979,0.439486021,0.00381057,0.00285544,1.9392
0.144161306,0.167267502,0.397416512,0.277986895,0.007021634,0.006146151,1.9404
0.205502379,0.170191632,0.325385134,0.287347587,0.005274364,0.006298905,1.9607
0.278982653,0.172796234,0.275356886,0.262609958,0.003789318,0.006464951,1.9665
0.145673857,0.176929219,0.391787933,0.269754688,0.00645227,0.009402032,1.974
0.074583204,0.185235973,0.457629897,0.270022227,0.009403501,0.003125199,2.0086
0.284782807,0.18265786,0.275072046,0.247056985,0.003830284,0.006600019,2.0277
0.026882469,0.052527784,0.27683839,0.633642384,0.004729329,0.005379643,2.0791
0.027311831,0.058331423,0.267309979,0.639262194,0.005115949,0.002668625,2.1431
0.048593839,0.062934746,0.253009464,0.62807174,0.004749412,0.002640799,2.1441
0.026977791,0.049613781,0.27894902,0.63433846,0.004726179,0.005394769,2.1487
0.119113555,0.165108114,0.409775861,0.292147936,0.00736084,0.006493694,2.1577
0.065458978,0.193272724,0.405890227,0.323497906,0.008690075,0.003190089,2.1614
0.169004235,0.167393586,0.377547376,0.273251614,0.00642977,0.006373419,2.169
0.048490256,0.054358059,0.264373359,0.623080567,0.004359841,0.005337917,2.1778
0.21562813,0.175553519,0.341175052,0.255891714,0.005534618,0.006216968,2.189
0.066794404,0.169080731,0.436960563,0.312280307,0.008310748,0.006573246,2.1893
0.349798649,0.207261908,0.255846802,0.177827966,0.003363494,0.005901181,2.2081
0.343766485,0.195097001,0.244204374,0.208037655,0.00308642,0.005808066,2.2095
0.039509609,0.183586499,0.438228794,0.323396859,0.008754432,0.006523807,2.2194
0.341535447,0.200146706,0.234201063,0.217719906,0.003517537,0.002879341,2.2221
0.068733688,0.152806023,0.44563722,0.320670435,0.00881841,0.003334223,2.2254
0.302330266,0.190727789,0.273536813,0.223609118,0.003869986,0.005926029,2.2262
0.167842536,0.17347532,0.371928616,0.273996229,0.006425941,0.006331357,2.2262
0.347480049,0.212286795,0.245583939,0.187925043,0.003799069,0.002925105,2.2301
0.214194567,0.181434383,0.335927522,0.256729944,0.005536646,0.006176938,2.2385
0.039908951,0.189362367,0.425153467,0.333160335,0.009184095,0.003230784,2.242
0.16669607,0.179477306,0.366383534,0.27473108,0.006422163,0.006289846,2.244
0.258339424,0.189014454,0.301640714,0.240285838,0.004689697,0.006029873,2.2454
0.340492438,0.202806239,0.232082386,0.218223697,0.003524515,0.002870725,2.248
0.350899476,0.204541903,0.25809792,0.17718549,0.003355823,0.005919387,2.2541
0.212779346,0.187240002,0.330747134,0.257557449,0.005538649,0.006137421,2.2543
0.16556454,0.185401102,0.36091069,0.275456358,0.006418434,0.006248876,2.2612
0.065796559,0.181515385,0.424648262,0.313277929,0.008277478,0.006484387,2.2632
0.11660319,0.183494178,0.392190039,0.294017375,0.007330764,0.006364453,2.2862
